Work number,Title of work,Rightsholder's IPI number,Rightsholder's name,Rightsholder's role,Rightsholder's share (%),Distribution main category,Distribution intermediate category,Distribution subcategory,Venue name,Performer name,Performance date (start),Performance date (end),ISWC,Amount (€)
32559953,The Ghost & Mrs. Muir,316465720,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Pablo,2017-08-08,2018-01-08,T9158150089,"0,25"
40512760,Who Wants to Be a Superhero?,41843757,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Headswim,2017-08-27,2018-11-16,T9165707200,"0,44"
29891571,Columbo,57384677,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Live and DJ gigs,Events,NA,Russian Circles,2017-10-10,2018-04-01,T9171977825,"0,44"
42457257,The Pianist,486923772,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Medium,NA,Peach,2017-01-24,2018-02-03,T9177581328,"2,60"
29740702,Lambeth North,85180896,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Psychotic,2018-05-15,2018-06-11,T9162581111,"0,31"
37365166,Jigglypuff,70631631,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Live and DJ gigs,Events,NA,Psychotic,2017-12-02,2018-02-06,T9134063490,"2,44"
31568669,Dusclops,235785045,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,The Cows,2018-06-17,2018-01-06,T9166162896,"0,08"
40760807,Vanilluxe,577529140,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Live and DJ gigs,NA,Jakob,2017-01-06,2018-07-15,NA,"0,07"
43380062,Zapdos,491708513,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,Fantômas,2017-02-10,2018-04-06,T9191037218,"0,32"
38792936,The Big Lebowski,35178119,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Small,NA,Rajas,2017-08-15,2017-10-09,T9189104421,"1,38"
35082386,It's a Wonderful Life,502632875,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,The Flaming Lips,2017-12-30,2017-08-29,T9145748245,"0,47"
36548871,Pocoyo,122919486,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,College & University,Meshuggah,2017-08-17,2018-02-18,T9203329515,"1,74"
43044138,"Location, Location, Location",482694401,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Medium,NA,Meshuggah,2017-10-04,2018-02-27,T9158992847,"0,66"
38082425,Canary Wharf,37239353,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Medium,NA,TU,2018-06-09,2017-10-02,T9156444612,"0,05"
32611230,History Never Repeats,349587242,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,The Melvins,2017-08-25,2018-11-09,T9191237185,"1,38"
34000942,The Loner,554605630,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Failure,2017-12-30,2018-01-16,T9189057571,"0,31"
41721936,Dear Sister,293507464,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Russian Circles,2018-05-23,2018-03-27,T9135103677,"0,08"
33050902,Blitzle,5902971,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Live and DJ gigs,Events,NA,Melt-Banana,2017-01-10,2018-03-22,T9154366754,"0,19"
41951743,Family Ties,60654731,Brisa Bradtke-Eichmann,Arranger,25,Events,Live and DJ gigs,Events,NA,Trans Am,2017-03-23,2017-08-10,T9171832817,"0,31"
40426361,Passion,129573282,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Russian Circles,2017-02-02,2018-03-01,NA,"1,32"
35388840,Pineco,158371786,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Small,NA,The Cows,2018-03-22,2017-12-09,NA,"0,24"
41096288,Wimbledon Park,424809716,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Small,NA,Tweak Bird,2018-05-17,2018-04-26,T9200407136,"0,08"
43494850,Pretty Wild,458869469,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Events,NA,Rajas,2017-07-19,2017-10-02,T9133456165,"0,12"
34906435,Zorro and Son,186940539,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,Trans Am,2017-03-20,2018-11-26,T9140649114,"0,31"
28105167,Texas Country Reporter,570846829,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Tweak Bird,2018-01-21,2017-08-10,T9152400387,"2,44"
34934992,The Persuaders!,69546075,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Events,NA,The Cows,2017-02-26,2017-12-13,T9176858198,"1,76"
36601444,The New Dick Van Dyke Show,106298591,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,The Flaming Lips,2017-11-24,2018-12-07,NA,"1,98"
28992504,Tattooed Love Boys,239881106,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Rajas,2017-11-11,2018-08-02,T9205257184,"0,31"
43464322,One Foot in the Grave,229724578,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Medium,NA,Melt-Banana,2018-03-09,2018-10-16,T9146722453,"2,44"
30441440,Police Ten 7,318672790,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Psychotic,2017-05-01,2018-06-18,T9140711677,"2,60"
29827071,Boot Camp,446900005,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Small,NA,Fantômas,2018-01-22,2018-02-13,T9191251783,"0,45"
38855848,Roding Valley,276001255,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Intronaut,2017-12-20,2017-12-27,T9170626943,"0,08"
36686423,Lilligant,568362114,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,TU,2017-01-19,2018-08-24,T9173641748,"0,17"
41215844,Zebstrika,302215140,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,The Melvins,2017-10-18,2018-01-11,T9148118836,"1,74"
35267358,Kingdra,547252948,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Kinski,2017-04-06,2017-10-21,T9184753709,"1,38"
29662396,Thundercats,240619951,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Tricky,2017-08-04,2018-10-01,T9192649241,"1,05"
43927977,Rob Dyrdek's Fantasy Factory,211380049,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Small,NA,Mastodon,2018-05-21,2017-11-13,NA,"1,38"
41660154,Elizabeth R,26909013,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Events,NA,Dälek,2018-03-09,2018-06-08,T9141393601,"0,08"
44079720,Ultimate Force,579076093,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Peach,2017-09-29,2018-09-19,T9141933001,"1,32"
29993119,Spinarak,210230436,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Jakob,2017-02-14,2018-02-27,T9168814606,"0,24"
35887051,Victim,292138474,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Failure,2018-01-02,2018-06-01,T9186610787,"0,06"
33380330,Dreamin',343934614,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Events,NA,Big Business,2018-04-05,2017-10-08,NA,"0,24"
36374422,Altaria,123139050,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Events,NA,Cosmic Psychos,2017-01-31,2018-09-25,T9148240491,"0,36"
30175334,Thundurus,414244357,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Trans Am,2018-04-29,2018-01-18,T9138504170,"0,31"
33227892,Honchkrow,43985043,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Tweak Bird,2018-05-12,2017-12-19,T9162414692,"0,32"
36218267,Zweilous,460620891,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,TU,2017-02-23,2018-05-12,T9153549463,"0,31"
36357383,Nidoran♀,149770097,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Live and DJ gigs,Events,NA,Fantômas,2018-03-31,2018-06-13,T9149934580,"1,76"
35290724,Luxio,562335347,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Pablo,2018-02-12,2017-11-10,T9131970294,"0,44"
42153463,Charlie Chalk,187398780,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Events,Medium,NA,Mastodon,2017-09-30,2018-05-08,T9158870703,"1,34"
38663223,Awkward,324114399,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Live and DJ gigs,NA,Jakob,2017-08-10,2018-06-15,T9146054000,"0,47"
35276896,Workaholics,344456812,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Psychotic,2018-03-13,2018-08-02,T9171564255,"2,60"
41432148,History Never Repeats,340059171,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,YOB,2017-02-19,2018-09-24,T9207613347,"0,45"
30570693,Druddigon,489886371,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Events,Medium,Shop & Service,Meshuggah,2017-02-23,2018-03-05,T9139789644,"0,24"
32844074,The New Adventures of Pinocchio,240153504,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,The Cows,2018-01-03,2018-04-02,T9144729285,"0,24"
33742011,McMorris & McMorris,250297585,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Rajas,2017-12-14,2018-07-18,T9151258137,"1,76"
34467058,Covent Garden,357628890,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,Psychotic,2017-04-15,2018-05-02,NA,"0,06"
41188373,Hitmonlee,165875173,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Peach,2018-01-26,2018-03-11,T9144761184,"0,24"
41451087,Message of Love,547702911,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Jakob,2017-01-09,2018-01-15,T9136154040,"2,44"
39442718,Buckhurst Hill,562103487,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Live and DJ gigs,Medium,NA,Mastodon,2017-05-25,2018-03-31,T9132079050,"0,08"
32765302,Swiss Cottage,515203447,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Melt-Banana,2017-03-02,2018-01-26,T9168815940,"1,74"
41015108,Aldgate East,544194506,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,The Cows,2017-09-21,2018-12-28,NA,"0,31"
40426812,Brokeback Mountain,477868880,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Failure,2017-05-02,2018-08-31,T9210202989,"0,08"
28698731,Pop! Goes the Country,117535937,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Live and DJ gigs,NA,Big Business,2017-02-03,2018-11-30,T9146015671,"1,32"
40712234,Wheel of Fortune,144431595,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,Cosmic Psychos,2017-07-13,2018-03-16,T9189630132,"0,24"
30334986,Marowak,432124671,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Melt-Banana,2017-04-11,2018-07-28,T9158124675,"1,38"
42748011,Swampert,149320252,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Small,NA,Failure,2018-06-19,2017-12-24,T9166819170,"1,74"
37638647,Skiploom,348669794,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Paw,2018-06-18,2018-08-04,T9186902732,"0,44"
37038177,Rufflet,304169557,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,Food,Trans Am,2017-12-18,2017-11-29,T9166445802,"1,74"
28398584,Edgware Road,194945875,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Jakob,2018-01-22,2018-08-09,T9134391235,"0,31"
41635507,Food Network Challenge,273706280,Brisa Bradtke-Eichmann,Arranger,25,Events,Events,Small,NA,YOB,2017-11-09,2018-04-27,NA,"0,08"
42984745,Hergé's Adventures of Tintin,140933619,Brisa Bradtke-Eichmann,Author,"8,34",Events,Concerts and festivals,Medium,NA,Psychotic,2017-07-08,2018-11-18,T9141193316,"0,24"
28771992,Pinner,271149686,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Small,NA,Pablo,2017-08-24,2017-12-12,T9187843440,"1,74"
35385184,Land of the Lost,32665639,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Pablo,2017-06-07,2018-10-11,T9178648569,"0,66"
34051513,Sister Disco,103739168,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Intronaut,2018-03-05,2017-12-09,T9206503697,"0,25"
29409062,Branded,174815409,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Rajas,2017-08-03,2018-08-14,T9163309193,"0,47"
33567113,Carracosta,544559863,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Tweak Bird,2018-03-17,2017-09-27,NA,"0,19"
36251081,Ghostwriter,487308166,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Medium,NA,Intronaut,2017-06-22,2017-08-18,T9206858750,"1,76"
37987886,Wife Swap,520597820,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Cortizone,2017-11-22,2017-11-16,T9182831966,"0,17"
28518252,"Gomer Pyle, U.S.M.C.",585582219,Brisa Bradtke-Eichmann,Arranger,"8,33",Background music,Concerts and festivals,Medium,NA,Meshuggah,2017-03-11,2017-11-01,NA,"1,98"
39631012,Togetic,338831091,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,YOB,2017-09-07,2018-11-23,T9149622306,"0,19"
33386899,My Little Pony,156877681,Brisa Bradtke-Eichmann,Arranger,"8,33",Events,Concerts and festivals,Events,NA,Trans Am,2017-07-02,2018-10-26,T9151946679,"0,08"
30366620,Kimba the White Lion,238532558,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Small,NA,The Cows,2017-07-01,2018-01-27,NA,"0,31"
39616467,Gargoyles,577524543,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Events,Events,NA,Big Business,2017-05-11,2018-01-01,NA,"0,17"
39020961,Froslass,161801775,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Medium,NA,Tweak Bird,2017-07-02,2018-07-22,T9210282410,"0,19"
28340485,All Is Forgiven,412532939,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,The Melvins,2017-10-01,2018-05-06,T9162003367,"0,45"
39162869,Euston Square,404344694,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Small,NA,The Flaming Lips,2017-02-19,2018-06-21,T9174752754,"0,24"
42583755,Chimecho,268896525,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Tweak Bird,2018-06-23,2018-07-20,T9160984372,"1,38"
43547311,The Dukes of Hazzard,86701538,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,YOB,2017-08-29,2018-12-01,T9186498659,"0,35"
43872773,Hariyama,470254148,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,The Flaming Lips,2018-04-14,2018-06-05,T9131591727,"0,19"
32972478,Pidove,62126479,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Concerts and festivals,Events,NA,Trans Am,2017-07-16,2018-03-12,NA,"0,44"
31908235,Kentish Town,79490867,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Events,NA,Cortizone,2018-03-28,2018-04-18,T9203133654,"0,44"
28668212,Vileplume,435496198,Brisa Bradtke-Eichmann,Arranger,25,Background music,Concerts and festivals,Small,NA,Peach,2018-04-04,2018-01-12,T9154948134,"0,36"
43316291,Canons Park,240668089,Brisa Bradtke-Eichmann,Arranger,"8,34",Background music,Events,Medium,NA,The Cows,2017-01-27,2018-11-07,T9171600655,"1,98"
41035957,Mister Ed,301807502,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Events,NA,Tricky,2018-03-06,2018-10-17,T9197688949,"0,24"
42202669,Southland,51425439,Brisa Bradtke-Eichmann,Arranger,"8,34",Events,Concerts and festivals,Medium,NA,Dälek,2017-04-11,2018-05-21,T9133180631,"0,08"
